ticker,volume,open,close,high,low,window_start,transactions
O:ACHR250718P00010000,5,2.59,2.85,2.85,2.53,1739250000000000000,4
O:ACHR250718P00011000,3,3.15,3.52,3.52,3.15,1739250000000000000,3
O:ACHR250718P00012000,2,3.9,4.15,4.15,3.9,1739250000000000000,2
O:ACHR250718P00013000,1,4.65,4.65,4.65,4.65,1739250000000000000,1
O:ACHR260116C00002500,10,7.4,7.15,7.45,7,1739250000000000000,7
O:ACHR260116C00003000,55,6.63,6.64,7.1,6.63,1739250000000000000,9
O:ACHR260116C00003500,20,6.3,6.4,7.4,6.3,1739250000000000000,10
O:ACHR260116C00005000,145,5.4,5.35,5.85,5.3,1739250000000000000,43
O:ACHR260116C00007000,290,4.11,4.38,4.75,4.1,1739250000000000000,74
O:ACHR260116C00010000,1950,3.3,3.35,3.65,2.98,1739250000000000000,352
O:ACHR260116C00012000,1249,2.75,2.75,3.1,2.54,1739250000000000000,158
O:ACHR260116C00015000,295,2.38,2.23,2.43,1.88,1739250000000000000,88
